City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
69,Port Alfred,ZA,-33.5906,26.891,68.7,75,89,4.61,overcast clouds
70,Shu,KZ,43.5983,73.7614,37.18,43,100,4.34,light rain
71,Puerto Ayora,EC,-0.7393,-90.3518,73.54,95,74,6.8,broken clouds
72,Upernavik,GL,72.7868,-56.1549,11.17,72,100,4.81,overcast clouds
73,Uruguaiana,BR,-29.7547,-57.0883,71.53,60,0,14.97,clear sky
74,Chapais,CA,49.7834,-74.8492,-29.42,100,27,3.22,scattered clouds
75,Lerwick,GB,60.1545,-1.1494,50.0,91,100,38.59,overcast clouds
76,Yazykovo,RU,55.2199,56.1353,7.74,95,81,3.69,broken clouds
77,Rafraf,TN,37.1904,10.1837,52.12,68,79,15.75,broken clouds
78,Dikson,RU,73.5069,80.5464,1.4,94,100,18.39,overcast clouds
79,Mount Isa,AU,-20.7333,139.5,80.37,89,75,11.5,light rain
80,Grover Beach,US,35.1216,-120.6213,55.69,60,0,1.01,clear sky
81,Ust-Nera,RU,64.5667,143.2,-7.76,100,100,1.74,overcast clouds
82,Fort Nelson,CA,58.8053,-122.7002,13.59,85,100,6.91,light snow
83,Chifeng,CN,42.2683,118.9636,24.55,20,0,3.87,clear sky
84,Henties Bay,NA,-22.116,14.2845,61.86,83,99,4.94,overcast clouds
85,Geraldton,AU,-28.7667,114.6,102.61,24,0,16.11,clear sky
86,Arraial Do Cabo,BR,-22.9661,-42.0278,75.67,93,99,10.42,overcast clouds
87,Udgir,IN,18.3833,77.1167,73.51,19,6,7.4,clear sky
88,Puerto Suarez,BO,-18.95,-57.8,73.09,99,99,2.24,overcast clouds
89,Maragogi,BR,-9.0122,-35.2225,75.65,88,100,7.9,overcast clouds
90,Saskylakh,RU,71.9167,114.0833,-9.87,96,99,5.75,overcast clouds
91,Sitka,US,57.0531,-135.33,42.69,81,100,13.8,light rain
92,Zhangye,CN,38.9342,100.4517,32.36,19,3,15.82,clear sky
93,Beringovskiy,RU,63.05,179.3167,-3.86,100,99,1.39,overcast clouds
94,Ilulissat,GL,69.2167,-51.1,23.02,42,100,23.02,overcast clouds
95,Nikolskoye,RU,59.7035,30.7861,24.69,100,93,3.62,overcast clouds
96,Longyearbyen,SJ,78.2186,15.6401,10.24,67,0,16.11,clear sky
97,Kangaba,ML,11.9333,-8.4167,70.77,20,12,5.5,few clouds
98,Puro,PH,12.4841,123.3827,84.31,70,38,1.16,scattered clouds
99,Khandyga,RU,62.6667,135.6,-28.68,97,55,0.43,broken clouds
100,Luanda,AO,-8.8368,13.2343,77.0,88,40,4.61,scattered clouds
101,Honiara,SB,-9.4333,159.95,83.37,75,100,6.71,moderate rain
102,Basco,PH,20.4487,121.9702,74.98,82,87,27.56,light rain
103,Hearst,CA,49.6835,-83.6665,-5.55,100,52,2.98,broken clouds
104,Kodinsk,RU,58.6881,99.1844,3.27,92,99,3.56,overcast clouds
105,Ambilobe,MG,-13.2,49.05,82.36,73,78,0.16,light rain
106,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,100,19.57,overcast clouds
107,Khatanga,RU,71.9667,102.5,-6.72,98,100,6.33,light snow
